iter	Passed	Remaining
966	5562	189
967	5567	184
968	5572	178
969	5578	172
970	5582	166
971	5587	160
972	5593	155
973	5597	149
974	5602	143
975	5607	137
976	5611	132
977	5616	126
978	5621	120
979	5627	114
980	5629	109
981	5634	103
982	5640	97
983	5645	91
984	5650	86
985	5655	80
986	5661	74
987	5666	68
988	5671	63
989	5676	57
990	5681	51
991	5686	45
992	5691	40
993	5695	34
994	5700	28
995	5706	22
996	5710	17
997	5715	11
998	5720	5
999	5726	0
